"","price","abtest","vehicleType","yearOfRegistration","gearbox","powerPS","kilometer","fuelType","notRepairedDamage"
"271",6699,"control","kleinwagen",2012,"automatik",71,40000,"benzin","nein"
"272",1450,"control","kleinwagen",2000,"manuell",80,100000,"benzin","nein"
"273",9600,"test","limousine",2005,"automatik",258,125000,"benzin","nein"
"274",1300,"control","kleinwagen",2001,"manuell",70,150000,"benzin","nein"
"275",2100,"control","bus",2002,"manuell",101,150000,"diesel","nein"
"276",17800,"test","cabrio",2009,"automatik",184,40000,"benzin","nein"
"277",3800,"test","kombi",2003,"automatik",101,150000,"diesel","ja"
"278",2200,"test","kleinwagen",2000,"automatik",60,125000,"benzin","nein"
"279",4999,"test","kleinwagen",2009,"manuell",69,90000,"benzin","nein"
"280",8800,"control","cabrio",2004,"manuell",170,150000,"benzin","nein"
"281",3950,"control","limousine",2000,"manuell",101,60000,"benzin","nein"
"282",11499,"control","kleinwagen",2014,"manuell",94,10000,"benzin","nein"
"283",4750,"test","kombi",2006,"manuell",110,150000,"diesel","nein"
"284",1350,"control","kleinwagen",2000,"automatik",60,150000,"benzin","nein"
"285",5400,"control","kleinwagen",2009,"manuell",68,100000,"diesel","nein"
"286",1199,"control","kombi",2002,"manuell",131,150000,"diesel","nein"
"287",5300,"test","suv",2004,"manuell",116,150000,"diesel","nein"
"288",2000,"test","bus",2006,"manuell",150,150000,"benzin","nein"
"289",2150,"control","kombi",2000,"manuell",140,150000,"benzin","nein"
"290",2400,"test","kleinwagen",2002,"manuell",64,150000,"benzin","nein"
"291",12500,"test","kleinwagen",2007,"automatik",174,80000,"benzin","nein"
"292",33300,"control","suv",2014,"automatik",150,20000,"diesel","nein"
"293",2999,"control","limousine",2003,"manuell",75,150000,"benzin","nein"
"294",4500,"test","kombi",2006,"manuell",170,150000,"diesel","nein"
"295",4500,"test","cabrio",2005,"manuell",90,80000,"benzin","nein"
"296",82500,"test","coupe",2010,"automatik",430,30000,"benzin","nein"
"297",9900,"control","kleinwagen",2012,"manuell",69,70000,"benzin","nein"
"298",9850,"test","limousine",2009,"manuell",122,90000,"benzin","nein"
"299",6150,"control","bus",2007,"manuell",125,80000,"benzin","nein"
"300",15499,"test","limousine",2013,"manuell",116,60000,"diesel","nein"
"301",7400,"control","kombi",2011,"manuell",120,125000,"benzin","nein"
"302",8800,"control","kombi",2008,"automatik",170,150000,"diesel","nein"
"303",2300,"test","kleinwagen",2004,"manuell",75,150000,"benzin","nein"
